symbol,shares,price,time,type
TSLA,2,397.73,2026-03-07 9:02,buy
TSLA,2,396.73,2026-03-07 9:03,buy
AAPL,3,257.46,2026-03-07 11:13,buy
AAPL,3,254.46,2026-03-07 11:14,buy
AAPL,3,257.46,2026-03-07 11:15,buy
AAPL,20,255.76,2026-03-12 16:39,buy
LCID,20,9.84,2026-03-12 16:42,buy
LCID,20,9.84,2026-03-12 16:43,buy
AAPL,-3,255.76,2026-03-12 16:43,sell
AAPL,3,249.94,2026-03-18 16:43:47,buy
AAPL,-3,249.94,2026-03-18 16:43:55,sell
AAPL,1,249.94,2026-03-18 16:49:45,buy
AAPL,1,249.94,2026-03-18 16:49:52,buy
AAPL,1,249.94,2026-03-18 16:49:57,buy
AAPL,1,249.94,2026-03-18 16:49:58,buy
AAPL,1,249.94,2026-03-18 16:50:09,buy
AAPL,1,249.94,2026-03-18 16:50:10,buy
AAPL,-1,249.94,2026-03-18 16:50:39,sell
AAPL,-1,249.94,2026-03-18 16:50:40,sell
AAPL,10,249.94,2026-03-18 16:52:27,buy
AAPL,-12,249.94,2026-03-18 16:52:31,sell
AAPL,3,249.94,2026-03-18 16:52:35,buy
MSFT,10,391.79,2026-03-18 20:24:02,buy
MSFT,2,391.79,2026-03-18 20:26:29,buy
AAPL,10,249.94,2026-03-18 21:02:20,buy
AAPL,-10,249.94,2026-03-18 21:02:25,sell
AAPL,10,249.94,2026-03-18 21:09:36,buy
AAPL,1,249.94,2026-03-18 21:09:48,buy
AAPL,-10,249.94,2026-03-18 21:17:22,sell
AAPL,-10,249.94,2026-03-18 21:17:33,sell
AAPL,30,249.94,2026-03-18 21:35:22,buy
AAPL,10,248.03,2026-03-19 10:44:01,buy
AAPL,-27,247.99,2026-03-19 10:51:19,sell
